date,open,high,low,close,volume
2025-06-16,104729.53,104828.94,104494.53,104807.75,477.5022
2025-06-16,104807.75,105359.96,104734.42,105263.51,432.23208
2025-06-16,105263.52,105617.82,105226.79,105594.01,381.41607
2025-06-16,105594.02,105769.85,105352.94,105429.32,422.15418
2025-06-16,105429.32,105885.0,104980.37,105815.08,559.26238
2025-06-16,105815.09,105970.59,105684.46,105785.51,435.10541
2025-06-16,105785.51,105966.0,105708.93,105921.84,263.51613
2025-06-16,105921.85,106396.3,105874.48,106386.0,656.51068
2025-06-16,106386.0,106785.71,106312.33,106559.98,595.46163
2025-06-16,106559.99,106777.38,106510.61,106586.01,445.28877
2025-06-16,106586.0,107262.31,106586.0,107061.8,1080.95051
2025-06-16,107061.8,107242.92,106954.47,107180.0,486.60178
2025-06-16,107180.0,107255.01,106863.98,106945.86,789.42833
2025-06-16,106945.86,107200.0,106744.66,106834.32,436.77622
2025-06-16,106834.33,106976.75,106582.25,106883.99,436.11918
2025-06-16,106884.0,106900.0,106600.0,106690.47,352.59083
2025-06-16,106690.47,107172.11,106495.09,107160.06,556.73469
2025-06-16,107160.06,107784.26,106787.99,107533.5,1083.59008
2025-06-16,107533.5,107715.4,107307.81,107424.96,545.4424
2025-06-17,107424.96,107906.98,107309.15,107765.99,671.1767
2025-06-17,107765.99,108017.98,107627.9,107755.0,586.42985
2025-06-17,107755.01,108278.0,107686.56,108255.96,494.51232
2025-06-17,108255.97,108888.0,108255.96,108652.0,996.00646
2025-06-17,108652.01,108849.77,108428.0,108782.68,565.88847
2025-06-17,108782.68,108817.0,108321.45,108513.1,363.37911
2025-06-17,108513.1,108952.38,107418.24,107700.01,1124.54821
2025-06-17,107700.01,107982.63,106700.0,106794.53,975.19108
2025-06-17,106794.53,107262.31,106115.35,107238.63,1478.91948
2025-06-17,107238.68,107399.0,106930.23,107173.51,437.59004
2025-06-17,107173.51,107600.0,106572.07,107482.39,551.95383
2025-06-17,107482.4,107771.34,107364.89,107590.41,557.48911
2025-06-17,107590.41,107711.06,107303.01,107333.64,324.27105
2025-06-17,107333.64,107403.99,107040.0,107122.02,467.39075
2025-06-17,107122.01,107234.94,106724.0,106832.91,387.2144
2025-06-17,106832.92,106879.48,106481.6,106758.52,518.07804
2025-06-17,106758.52,106822.78,106484.89,106568.06,362.87139
2025-06-17,106568.06,106655.82,106069.55,106160.57,707.9622
2025-06-17,106160.58,106248.43,105721.29,105956.01,798.36423
2025-06-17,105956.01,105956.01,105508.23,105641.47,539.34753
2025-06-17,105641.48,105862.03,105420.0,105507.0,548.13287
2025-06-17,105506.99,105754.05,105200.0,105349.27,715.74499
2025-06-17,105349.28,105694.42,104777.48,104847.33,1268.55694
2025-06-17,104847.33,104968.69,104130.95,104241.63,1775.82912
2025-06-18,104241.62,104484.97,103500.01,103630.67,1788.59454
2025-06-18,103630.67,104250.0,103371.02,103814.01,1318.17143
2025-06-18,103814.0,104414.85,103626.05,104414.84,582.53411
2025-06-18,104414.84,105336.82,104414.83,104686.12,1030.66661
2025-06-18,104686.12,104898.81,104262.88,104362.39,631.39909
2025-06-18,104362.39,104822.31,104252.33,104552.58,424.96971
2025-06-18,104552.59,104731.61,104203.85,104228.31,339.43238
2025-06-18,104228.31,104730.77,104228.31,104551.17,310.84641
2025-06-18,104551.17,104857.14,104379.52,104842.78,396.62544
2025-06-18,104842.78,105176.61,104680.0,104776.92,347.92348
2025-06-18,104776.92,105099.99,104695.82,104856.06,299.75201
2025-06-18,104856.06,105240.0,104849.13,105184.84,302.08543
2025-06-18,105184.84,105504.67,105074.25,105447.39,286.6217
2025-06-18,105447.53,105550.27,105375.05,105423.5,448.33108
2025-06-18,105423.51,105527.88,104859.18,104966.2,578.89056
2025-06-18,104966.19,105000.9,104713.24,104973.24,445.08193
2025-06-18,104973.24,105310.62,104756.33,104949.9,393.96563
2025-06-18,104949.91,105142.0,104565.0,104697.03,323.45218
2025-06-18,104697.02,104797.06,104175.87,104266.19,531.68147
2025-06-18,104266.18,104858.8,104192.46,104840.59,651.35695
2025-06-18,104840.58,104908.49,104474.81,104514.0,615.40924
2025-06-18,104513.99,104550.92,103814.04,104439.81,1121.40671
2025-06-18,104439.82,105325.83,104228.3,104619.88,1418.42072
2025-06-18,104619.87,104973.79,104150.13,104801.01,869.2412
2025-06-19,104801.01,104836.64,104334.78,104426.93,509.29545
2025-06-19,104426.93,104508.0,103615.33,104331.83,918.22252
2025-06-19,104332.0,104706.08,103586.0,103623.39,1023.7841
2025-06-19,103623.39,104437.7,103500.0,103808.41,839.17523
2025-06-19,103808.41,104988.88,103652.0,104822.33,628.82425
2025-06-19,104822.34,105139.87,104378.62,105085.5,574.55745
2025-06-19,105085.49,105138.0,104794.41,104815.23,257.38438
2025-06-19,104815.23,104956.74,104630.09,104886.78,187.15256
2025-06-19,104886.79,105226.17,104680.41,104944.06,534.37997
2025-06-19,104944.06,104964.02,104466.16,104599.25,386.57688
2025-06-19,104599.25,105000.64,104457.12,104722.51,325.08223
2025-06-19,104722.5,105114.45,104722.5,105100.02,233.06599
2025-06-19,105100.01,105111.37,104803.98,105073.52,300.10136
2025-06-19,105073.52,105220.0,104819.62,104892.86,274.94947
2025-06-19,104892.86,104989.34,104630.89,104707.94,280.44541
2025-06-19,104707.95,104848.49,104617.69,104642.85,276.76135
2025-06-19,104642.85,104986.13,104631.26,104746.12,291.39146
2025-06-19,104746.11,105030.0,104729.83,104994.0,284.66266
2025-06-19,104994.0,105073.53,104843.7,104913.19,199.62218
2025-06-19,104913.19,104913.2,104720.1,104776.23,173.90893
2025-06-19,104776.23,104917.05,104663.77,104752.6,249.90189
2025-06-19,104752.61,104785.15,104244.11,104283.33,413.67121
2025-06-19,104283.33,104690.47,104109.06,104148.6,435.78555
2025-06-19,104148.61,104443.94,104078.0,104096.93,496.14025
2025-06-20,104096.94,104425.15,103933.33,104001.13,377.21937
2025-06-20,104001.13,104814.73,103929.27,104521.31,684.04339
2025-06-20,104521.32,104694.01,104294.09,104392.53,296.18725
2025-06-20,104392.54,104464.29,104126.98,104250.44,266.773
2025-06-20,104250.45,104496.0,104150.0,104266.82,161.1343
2025-06-20,104266.83,104413.66,104228.53,104332.45,176.53959
2025-06-20,104332.45,104774.32,104332.45,104596.29,323.86777
2025-06-20,104596.29,104898.31,104463.56,104658.59,236.39591
2025-06-20,104658.59,104820.0,104563.25,104692.74,238.6379
2025-06-20,104692.74,104797.06,104391.38,104778.5,179.3014
2025-06-20,104778.5,104800.0,104496.5,104628.0,378.45556
2025-06-20,104628.0,104700.0,104511.0,104596.63,230.06249
2025-06-20,104596.64,104600.0,104238.02,104258.59,233.22018
2025-06-20,104258.59,104585.99,104258.59,104584.68,326.07738
2025-06-20,104584.68,104769.25,104584.68,104719.86,234.96044
2025-06-20,104719.86,105825.66,104648.46,105811.74,1083.81217
2025-06-20,105811.74,106524.65,105780.76,105959.68,1568.80558
